add-none,1,1000000,2000000,3134199,1,0
add-none,2,100,400,3134199,7835,0
add-none,2,1000,4000,3134199,783,65
add-none,2,10000,40000,3134199,78,-4211
add-none,2,100000,400000,3134199,7,-25735
add-none,2,1000000,4000000,3134199,0,-112072
add-none,4,100,800,3134199,3917,0
add-none,4,1000,8000,3134199,391,43
add-none,4,10000,80000,3134199,39,-443
add-none,4,100000,800000,3134199,3,-27318
add-none,4,1000000,8000000,3134199,0,-431602
add-yield-none,1,100,200,3134199,15670,0
add-yield-none,1,1000,2000,3134199,1567,0
add-yield-none,1,10000,20000,3134199,156,0
add-yield-none,1,100000,200000,3134199,15,0
add-yield-none,1,1000000,2000000,3134199,1,0
add-yield-none,2,100,400,3134200,7835,20
add-yield-none,2,1000,4000,3134201,783,-3
add-yield-none,2,10000,40000,3134201,78,34
add-yield-none,2,100000,400000,3134201,7,-27
add-yield-none,2,1000000,4000000,3134201,0,-9683
add-yield-none,4,100,800,3134203,3917,78
add-yield-none,4,1000,8000,3134203,391,0
add-yield-none,4,10000,80000,3134203,39,-785
add-yield-none,4,100000,800000,3134203,3,-2891
add-yield-none,4,1000000,8000000,3134203,0,-49987
add-yield-m,2,10000,40000,3134205,78,0
add-yield-m,4,10000,80000,3134205,39,0
add-yield-m,8,10000,160000,3134205,19,0
add-yield-m,12,10000,240000,3134205,13,0
add-yield-c,2,10000,40000,3134206,78,0
add-yield-c,4,10000,80000,3134206,39,0
add-yield-c,8,10000,160000,3134206,19,0
add-yield-c,12,10000,240000,3134206,13,0
add-yield-s,2,10000,40000,3134206,78,0
add-yield-s,4,10000,80000,3134206,39,0
add-yield-s,8,1000,16000,3134206,195,0
add-yield-s,12,1000,24000,3134206,130,0
add-m,1,10000,20000,3134206,156,0
add-m,2,10000,40000,3134206,78,0
add-m,4,10000,80000,3134206,39,0
add-m,8,10000,160000,3134206,19,0
add-m,12,10000,240000,3134206,13,0
add-c,1,10000,20000,3134206,156,0
add-c,2,10000,40000,3134206,78,0
add-c,4,10000,80000,3134206,39,0
add-c,8,10000,160000,3134206,19,0
add-c,12,10000,240000,3134206,13,0
add-s,1,10000,20000,3134206,156,0
add-s,2,10000,40000,3134206,78,0
add-s,4,10000,80000,3134206,39,0
